CompanyMaster_FK_ID,ProductId,ProductName,Category,ProductType,Description,HSCode,IsConsumable,DefencePlatform,TechArea
14973,,Internal Shot Blasting Machine,,,,,,,
14152,,PLATFORM SPRING FOR 20 ROUND,,,,,,,
10268,,INDUSTRIAL X RAY FILM,,,,,,,
13272,,Inorganic neutral salts,,,,,,,
6448,,ELECTRONIC UNITS,,,,,,,
13649,,furnace  coil water cooled lead,,,,,,,
15109,,cyber security audit,,,,,,,
13311,,Portable Pneumatics Air gun,,,,,,,
14908,,Rotary Union,,,,,,,
6388,,ferro vanadium,,,,,,,
14086,,windows server,,,,,,,
13262,,Exothermic  topping compound,,,,,,,
14528,,Bi directional  lubrication pump,,,,,,,
9062,,60 watt LED street light,,,,,,,
10850,,Graphite electrode,,,,,,,
15006,,refractory runners,,,,,,,
13608,,Heavy duty chipping hammer,,,,,,,
14018,,Crank shaft for air compressor,,,,,,,
13646,,SLAG POT,,,,,,,
13847,,Transportation  of defence stores,,,,,,,
2287,,Spherical bearing,,,,,,,
13985,,Magnesite cement,,,,,,,
2694,,Nickel pure,,,,,,,
15591,,HIRING OF MANPOWER SERVICE,,,,,,,
14540,,BIMETALLIC BAND SAW BLADE,,,,,,,
12851,,Foundry coke,,,,,,,
2787,,solid alumunium wire,,,,,,,
2601,,ferro molybednum,,,,,,,
13802,,MONO BLOCK PUMP,,,,,,,
13800,,graphite stopper,,,,,,,
15097,,welding electrode,,,,,,,
1409,,fluoroscent magnetic powder,,,,,,,
13135,,QUALITY CERTIFICATION,,,,,,,
13093,,INSERT CNMG,,,,,,,
4637,,Zinc WIre,,,,,,,
9009,,powder ferrux,,,,,,,
13567,,FOSECO SOLOSIL,,,,,,,
13908,,welding electrode,,,,,,,
3864,,bimettalics bandsaw blade,,,,,,,
13648,,"STEEL TAPE BINDING 1/2""X22 SWG",,,,,,,
13648,,M.S.SQUARE BAR SIZE;30MMX30MMX5MTRS,,,,,,,
13648,,MILD STEEL ROUND 50 MM DIA,,,,,,,
13222,,GAS ACETYLENE IS:308-77,,,,,,,
13222,,ARGON GAS HIGH QUALITY 99.995%,,,,,,,
13222,,GAS OXYGEN IS:309-65,,,,,,,
13670,,PLAIN TURNING T.H.PSBNL3232-19,,,,,,,
2464,,STANNOUS SULPHATE FOR ELECTROPLATING,,,,,,,
11969,,S/F BODY FS-3249D :30MM GHASHA-HE/I,,,,,,,
2945,,BLIND RIVET TO DRG.FS-3035,,,,,,,
15311,,BIMETALIC BAND SAW BLADE 34X1.1X3/4,,,,,,,
10623,,ORING 171.7 X 5.3,,,,,,,
10623,,O RING 188 X 5.4,,,,,,,
10623,,O RING 191 X 5.4,,,,,,,
10623,,''O' RING 8.1 X 1.6 DRG.NO.FS-2882 A,,,,,,,
13272,,PHOSPHATING CHEMICAL,,,,,,,
13799,,COTTON WASTE WHITE TO IS 5485-1980,,,,,,,
11519,,ACID HYDRCHLORIC 265-1976.,,,,,,,
15308,,10 KVA UPS,,,,,,,
10302,,C.R. GM Strips Size 0.56mm +0.02mm Thick,,,,,,,
5689,,WASHER (RUBBER) FOR 250 KG BOMB BODY,,,,,,,
13834,,END JOINTING KIT 11KV 240 SQMM,,,,,,,
3029,,LOW CEMENT CASTABLE,,,,,,,
15065,,BUTTERFLY VALVE 6 INCHES,,,,,,,
14568,,PVC WATER TANK 500 LTRS,,,,,,,
13005,,FIRE BRICKS MAGNESITE,,,,,,,
1862,,PACKING CARTON,,,,,,,
13554,,Fire Bricks,,,,,,,
8850,,MACHINING OF TRACK LINK,,,,,,,
14230,,Ladle Cast 95,,,,,,,
4729,,WIRE NO.2 TO SIZ.0.5 MM (16 X 0.2),,,,,,,
14230,,Mag Chrome Steel Clad Bricks,,,,,,,
14230,,Side Wall Bricks,,,,,,,
14856,,STONE DUST,,,,,,,
11388,,TRANSIT PLUG CC-332B FOR 105 MM IFG,,,,,,,
13237,,DISPLACEMENT PUMP,,,,,,,
5335,,Appliances,,,,,,,
14288,,Dye Penetrant Test Chemicals,,,,,,,
11388,,PLASTIC RING TO FS-2031A FOR S-5KP,,,,,,,
14288,,Connectors and Cables,,,,,,,
6849,,Refrigerator,,,,,,,
7176,,Fabric,,,,,,,
11388,,TOP WASHER TO DRG.NO.FS-513 F,,,,,,,
2068,,MAGNESITE CROWN BRICKS,,,,,,,
11388,,SEALING WASHER FS-514 G,,,,,,,
